2013-05-05,100
2013-05-06,100
2013-05-07,100
2013-05-08,100
2013-05-09,50
2013-05-10,100
2013-05-11,100
2013-05-12,100
2013-05-13,100
2013-05-14,100
2013-05-15,100
2013-05-16,50
2013-05-17,100
2013-05-18,100
2013-05-19,100
2013-05-20,100
2013-05-21,100
2013-05-22,100
2013-05-23,50
2013-05-24,100
2013-05-25,100
2013-05-26,100
2013-05-27,100
2013-05-28,100
2013-05-29,100
2013-05-30,50
2013-05-31,100
2013-06-01,80
2013-06-02,80
2013-06-03,80
2013-06-04,80
2013-06-05,80
2013-06-06,50
2013-06-07,80
2013-06-08,80
2013-06-09,80
2013-06-10,80
2013-06-11,80
2013-06-12,80
2013-06-13,50
2013-06-14,80
2013-06-15,80
2013-06-16,80
2013-06-17,80
2013-06-18,80
2013-06-19,80
2013-06-20,50
2013-06-21,80
2013-06-22,80
2013-06-23,80
2013-06-24,80
2013-06-25,80
2013-06-26,80
2013-06-27,50
2013-06-28,80
2013-06-29,80
2013-06-30,80
2013-07-01,80
2013-07-02,80
2013-07-03,80
2013-07-04,50
2013-07-05,80
2013-07-06,80
2013-07-07,80
2013-07-08,80
2013-07-09,80
2013-07-10,80
2013-07-11,50
2013-07-12,80
2013-07-13,80
2013-07-14,80
2013-07-15,80
2013-07-16,80
2013-07-17,80
2013-07-18,50
2013-07-19,80
2013-07-20,80
2013-07-21,80
2013-07-22,80
2013-07-23,80
2013-07-24,80
2013-07-25,50
2013-07-26,80
2013-07-27,80
2013-07-28,80
2013-07-29,80
2013-07-30,80
2013-07-31,80
2013-08-01,50
2013-08-02,80
2013-08-03,80
2013-08-04,80
2013-08-05,80
2013-08-06,80
2013-08-07,80
2013-08-08,50
2013-08-09,80
2013-08-10,80
2013-08-11,80
2013-08-12,80
2013-08-13,80
2013-08-14,80
2013-08-15,50
2013-08-16,80
2013-08-17,80
2013-08-18,80
2013-08-19,80
2013-08-20,80
2013-08-21,80
2013-08-22,50
2013-08-23,80
2013-08-24,80
2013-08-25,80
2013-08-26,80
2013-08-27,80
